instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,percentcas,percentreg 
4288,7/2/11,3,0,7,13,0,6,0,1,0.82,0.7121,0.3,0.1045,178,226,404,0.440594059,0.559405941
4289,7/2/11,3,0,7,14,0,6,0,1,0.84,0.7121,0.2,0,177,215,392,0.451530612,0.548469388
4290,7/2/11,3,0,7,15,0,6,0,1,0.86,0.7273,0.19,0.1642,168,163,331,0.50755287,0.49244713
4291,7/2/11,3,0,7,16,0,6,0,1,0.88,0.7424,0.22,0.2239,206,192,398,0.51758794,0.48241206
4292,7/2/11,3,0,7,17,0,6,0,1,0.84,0.7273,0.3,0.2239,179,170,349,0.512893983,0.487106017
4293,7/2/11,3,0,7,18,0,6,0,1,0.82,0.7121,0.3,0.2836,193,190,383,0.503916449,0.496083551
4294,7/2/11,3,0,7,19,0,6,0,1,0.8,0.697,0.33,0.2239,156,149,305,0.51147541,0.48852459
4295,7/2/11,3,0,7,20,0,6,0,1,0.76,0.6818,0.45,0.2836,136,148,284,0.478873239,0.521126761
4296,7/2/11,3,0,7,21,0,6,0,1,0.74,0.6667,0.48,0.194,95,137,232,0.409482759,0.590517241
4297,7/2/11,3,0,7,22,0,6,0,1,0.72,0.6667,0.51,0.1642,78,123,201,0.388059701,0.611940299
4298,7/2/11,3,0,7,23,0,6,0,1,0.72,0.6667,0.54,0.2836,66,88,154,0.428571429,0.571428571
4299,7/3/11,3,0,7,0,0,0,0,1,0.7,0.6515,0.58,0.2239,47,97,144,0.326388889,0.673611111
4300,7/3/11,3,0,7,1,0,0,0,2,0.7,0.6515,0.61,0.1642,23,55,78,0.294871795,0.705128205
4301,7/3/11,3,0,7,2,0,0,0,1,0.7,0.6515,0.58,0.194,19,50,69,0.275362319,0.724637681
4302,7/3/11,3,0,7,3,0,0,0,3,0.68,0.6364,0.65,0.0896,8,25,33,0.242424242,0.757575758
4303,7/3/11,3,0,7,4,0,0,0,3,0.68,0.6364,0.65,0.0896,3,2,5,0.6,0.4
4304,7/3/11,3,0,7,5,0,0,0,3,0.62,0.5758,0.83,0.194,0,1,1,0,1
4305,7/3/11,3,0,7,6,0,0,0,2,0.62,0.5455,0.94,0.0896,0,3,3,0,1
4306,7/3/11,3,0,7,7,0,0,0,2,0.64,0.5758,0.89,0.194,3,22,25,0.12,0.88
4307,7/3/11,3,0,7,8,0,0,0,1,0.68,0.6364,0.79,0.2239,39,53,92,0.423913043,0.576086957
4308,7/3/11,3,0,7,9,0,0,0,1,0.7,0.6667,0.74,0.2537,82,99,181,0.453038674,0.546961326
4309,7/3/11,3,0,7,10,0,0,0,1,0.74,0.697,0.66,0.1642,131,133,264,0.496212121,0.503787879
4310,7/3/11,3,0,7,11,0,0,0,1,0.76,0.7121,0.62,0.1045,215,175,390,0.551282051,0.448717949
4311,7/3/11,3,0,7,12,0,0,0,1,0.8,0.7576,0.55,0.1045,198,206,404,0.49009901,0.50990099
4312,7/3/11,3,0,7,13,0,0,0,1,0.8,0.7727,0.59,0.2239,248,173,421,0.589073634,0.410926366
4313,7/3/11,3,0,7,14,0,0,0,1,0.82,0.7879,0.56,0.2537,225,150,375,0.6,0.4
4314,7/3/11,3,0,7,15,0,0,0,1,0.84,0.803,0.53,0.2985,194,182,376,0.515957447,0.484042553
4315,7/3/11,3,0,7,16,0,0,0,1,0.84,0.803,0.53,0.2985,195,219,414,0.471014493,0.528985507
4316,7/3/11,3,0,7,17,0,0,0,3,0.8,0.7424,0.49,0.8507,181,177,358,0.505586592,0.494413408
4317,7/3/11,3,0,7,18,0,0,0,3,0.8,0.7424,0.49,0.8507,74,107,181,0.408839779,0.591160221
4318,7/3/11,3,0,7,19,0,0,0,2,0.66,0.6061,0.83,0.194,100,83,183,0.546448087,0.453551913
4319,7/3/11,3,0,7,20,0,0,0,3,0.66,0.6061,0.83,0,83,93,176,0.471590909,0.528409091
4320,7/3/11,3,0,7,21,0,0,0,2,0.66,0.6061,0.83,0.1642,75,92,167,0.449101796,0.550898204
4321,7/3/11,3,0,7,22,0,0,0,2,0.66,0.6061,0.78,0.1045,69,93,162,0.425925926,0.574074074
4322,7/3/11,3,0,7,23,0,0,0,1,0.64,0.5758,0.83,0.1642,70,77,147,0.476190476,0.523809524
4323,7/4/11,3,0,7,0,1,1,0,1,0.64,0.5758,0.83,0.1343,63,77,140,0.45,0.55
4324,7/4/11,3,0,7,1,1,1,0,1,0.64,0.5758,0.83,0.0896,43,76,119,0.361344538,0.638655462
4325,7/4/11,3,0,7,2,1,1,0,1,0.64,0.5758,0.83,0,33,30,63,0.523809524,0.476190476
4326,7/4/11,3,0,7,3,1,1,0,1,0.64,0.5909,0.78,0,13,13,26,0.5,0.5
4327,7/4/11,3,0,7,4,1,1,0,2,0.66,0.6061,0.78,0.0896,8,4,12,0.666666667,0.333333333
4328,7/4/11,3,0,7,5,1,1,0,2,0.64,0.5758,0.83,0.1343,1,3,4,0.25,0.75
4329,7/4/11,3,0,7,6,1,1,0,1,0.64,0.5758,0.89,0.1642,5,11,16,0.3125,0.6875
4330,7/4/11,3,0,7,7,1,1,0,1,0.66,0.6061,0.83,0.1343,17,19,36,0.472222222,0.527777778
4331,7/4/11,3,0,7,8,1,1,0,1,0.7,0.6667,0.74,0.1045,42,44,86,0.488372093,0.511627907
4332,7/4/11,3,0,7,9,1,1,0,2,0.72,0.6818,0.66,0.0896,142,96,238,0.596638655,0.403361345
4333,7/4/11,3,0,7,10,1,1,0,2,0.76,0.697,0.55,0.0896,166,114,280,0.592857143,0.407142857
4334,7/4/11,3,0,7,11,1,1,0,2,0.76,0.697,0.55,0.0896,177,172,349,0.507163324,0.492836676
4335,7/4/11,3,0,7,12,1,1,0,2,0.78,0.7121,0.52,0,237,210,447,0.530201342,0.469798658
4336,7/4/11,3,0,7,13,1,1,0,2,0.78,0.7121,0.49,0,242,181,423,0.572104019,0.427895981
4337,7/4/11,3,0,7,14,1,1,0,1,0.8,0.7273,0.46,0,235,173,408,0.575980392,0.424019608
4338,7/4/11,3,0,7,15,1,1,0,1,0.82,0.7424,0.43,0.0896,224,184,408,0.549019608,0.450980392
4339,7/4/11,3,0,7,16,1,1,0,1,0.82,0.7424,0.41,0,236,216,452,0.522123894,0.477876106
4340,7/4/11,3,0,7,17,1,1,0,1,0.8,0.7273,0.46,0,240,196,436,0.550458716,0.449541284
4341,7/4/11,3,0,7,18,1,1,0,1,0.8,0.7273,0.46,0.1343,222,196,418,0.531100478,0.468899522
4342,7/4/11,3,0,7,19,1,1,0,2,0.78,0.7121,0.49,0.1642,170,205,375,0.453333333,0.546666667
4343,7/4/11,3,0,7,20,1,1,0,2,0.76,0.697,0.55,0.1045,195,191,386,0.505181347,0.494818653
4344,7/4/11,3,0,7,21,1,1,0,2,0.74,0.6818,0.62,0.1045,195,262,457,0.426695842,0.573304158
4345,7/4/11,3,0,7,22,1,1,0,2,0.74,0.6818,0.62,0.1343,115,211,326,0.352760736,0.647239264
4346,7/4/11,3,0,7,23,1,1,0,2,0.72,0.6818,0.7,0.1045,44,94,138,0.31884058,0.68115942
4347,7/5/11,3,0,7,0,0,2,1,2,0.7,0.6515,0.65,0.1642,19,36,55,0.345454545,0.654545455
4348,7/5/11,3,0,7,1,0,2,1,1,0.7,0.6515,0.65,0.1045,15,24,39,0.384615385,0.615384615
4349,7/5/11,3,0,7,2,0,2,1,1,0.66,0.6212,0.74,0.0896,8,5,13,0.615384615,0.384615385
4350,7/5/11,3,0,7,3,0,2,1,1,0.66,0.6212,0.74,0.2239,1,7,8,0.125,0.875
4351,7/5/11,3,0,7,4,0,2,1,1,0.66,0.6212,0.69,0.1642,1,4,5,0.2,0.8
4352,7/5/11,3,0,7,5,0,2,1,1,0.66,0.6212,0.69,0,1,19,20,0.05,0.95
4353,7/5/11,3,0,7,6,0,2,1,1,0.66,0.6212,0.74,0.0896,3,91,94,0.031914894,0.968085106
4354,7/5/11,3,0,7,7,0,2,1,1,0.7,0.6515,0.65,0.0896,22,248,270,0.081481481,0.918518519
4355,7/5/11,3,0,7,8,0,2,1,1,0.72,0.6818,0.62,0.1343,41,391,432,0.094907407,0.905092593
4356,7/5/11,3,0,7,9,0,2,1,1,0.74,0.6818,0.58,0.1343,50,177,227,0.220264317,0.779735683
4357,7/5/11,3,0,7,10,0,2,1,1,0.76,0.697,0.52,0.1045,55,84,139,0.395683453,0.604316547
4358,7/5/11,3,0,7,11,0,2,1,1,0.78,0.697,0.46,0.1045,75,97,172,0.436046512,0.563953488
4359,7/5/11,3,0,7,12,0,2,1,1,0.8,0.7273,0.43,0.1045,71,130,201,0.353233831,0.646766169
4360,7/5/11,3,0,7,13,0,2,1,1,0.82,0.7424,0.43,0.1045,67,136,203,0.330049261,0.669950739
4361,7/5/11,3,0,7,14,0,2,1,1,0.8,0.7424,0.49,0.1642,66,112,178,0.370786517,0.629213483
4362,7/5/11,3,0,7,15,0,2,1,1,0.82,0.7424,0.43,0,51,111,162,0.314814815,0.685185185
4363,7/5/11,3,0,7,16,0,2,1,1,0.82,0.7576,0.46,0.1045,79,202,281,0.28113879,0.71886121
4364,7/5/11,3,0,7,17,0,2,1,1,0.82,0.7576,0.46,0.1045,79,466,545,0.144954128,0.855045872
4365,7/5/11,3,0,7,18,0,2,1,1,0.8,0.7576,0.55,0.1642,70,426,496,0.141129032,0.858870968
4366,7/5/11,3,0,7,19,0,2,1,1,0.8,0.7727,0.59,0.1343,71,297,368,0.192934783,0.807065217
4367,7/5/11,3,0,7,20,0,2,1,1,0.76,0.7273,0.66,0.1045,59,225,284,0.207746479,0.792253521
4368,7/5/11,3,0,7,21,0,2,1,1,0.78,0.7424,0.62,0.2537,77,168,245,0.314285714,0.685714286
4369,7/5/11,3,0,7,22,0,2,1,1,0.76,0.7273,0.66,0.2239,31,124,155,0.2,0.8
4370,7/5/11,3,0,7,23,0,2,1,1,0.74,0.697,0.66,0.1642,19,54,73,0.260273973,0.739726027
4371,7/6/11,3,0,7,0,0,3,1,1,0.72,0.697,0.74,0.194,11,26,37,0.297297297,0.702702703
4372,7/6/11,3,0,7,1,0,3,1,1,0.7,0.6667,0.74,0.1343,4,11,15,0.266666667,0.733333333
4373,7/6/11,3,0,7,2,0,3,1,1,0.7,0.6667,0.79,0.0896,1,4,5,0.2,0.8
4374,7/6/11,3,0,7,3,0,3,1,1,0.7,0.6667,0.79,0,0,6,6,0,1
4375,7/6/11,3,0,7,4,0,3,1,2,0.68,0.6364,0.83,0.0896,0,6,6,0,1
4376,7/6/11,3,0,7,5,0,3,1,1,0.68,0.6364,0.83,0.0896,5,30,35,0.142857143,0.857142857
4377,7/6/11,3,0,7,6,0,3,1,1,0.7,0.6667,0.79,0.0896,9,112,121,0.074380165,0.925619835
4378,7/6/11,3,0,7,7,0,3,1,2,0.72,0.697,0.79,0,24,288,312,0.076923077,0.923076923
4379,7/6/11,3,0,7,8,0,3,1,2,0.72,0.697,0.74,0.1045,31,397,428,0.072429907,0.927570093
4380,7/6/11,3,0,7,9,0,3,1,3,0.7,0.6667,0.79,0.194,31,158,189,0.164021164,0.835978836
4381,7/6/11,3,0,7,10,0,3,1,3,0.7,0.6667,0.79,0.0896,13,30,43,0.302325581,0.697674419
4382,7/6/11,3,0,7,11,0,3,1,2,0.72,0.697,0.74,0,24,103,127,0.188976378,0.811023622
4383,7/6/11,3,0,7,12,0,3,1,2,0.74,0.697,0.66,0.0896,38,114,152,0.25,0.75
4384,7/6/11,3,0,7,13,0,3,1,2,0.74,0.697,0.7,0.1045,33,107,140,0.235714286,0.764285714
4385,7/6/11,3,0,7,14,0,3,1,1,0.76,0.7273,0.66,0.2836,50,113,163,0.306748466,0.693251534
4386,7/6/11,3,0,7,15,0,3,1,1,0.76,0.7273,0.7,0.2836,55,130,185,0.297297297,0.702702703
4387,7/6/11,3,0,7,16,0,3,1,1,0.76,0.7273,0.7,0.2537,57,218,275,0.207272727,0.792727273
4388,7/6/11,3,0,7,17,0,3,1,1,0.78,0.7424,0.59,0.2239,79,517,596,0.132550336,0.867449664
4389,7/6/11,3,0,7,18,0,3,1,1,0.76,0.7121,0.62,0.194,77,486,563,0.136767318,0.863232682
4390,7/6/11,3,0,7,19,0,3,1,1,0.74,0.697,0.7,0.2239,71,323,394,0.180203046,0.819796954
4391,7/6/11,3,0,7,20,0,3,1,1,0.72,0.697,0.74,0.2537,55,257,312,0.176282051,0.823717949
4392,7/6/11,3,0,7,21,0,3,1,1,0.7,0.6667,0.79,0.194,66,175,241,0.273858921,0.726141079
4393,7/6/11,3,0,7,22,0,3,1,1,0.7,0.6667,0.79,0.194,30,156,186,0.161290323,0.838709677
4394,7/6/11,3,0,7,23,0,3,1,1,0.68,0.6364,0.83,0.2239,20,78,98,0.204081633,0.795918367
4395,7/7/11,3,0,7,0,0,4,1,1,0.66,0.5909,0.89,0.1343,6,29,35,0.171428571,0.828571429
4396,7/7/11,3,0,7,1,0,4,1,1,0.66,0.5909,0.89,0.194,2,14,16,0.125,0.875
4397,7/7/11,3,0,7,2,0,4,1,1,0.66,0.5909,0.89,0.194,1,7,8,0.125,0.875
4398,7/7/11,3,0,7,3,0,4,1,1,0.64,0.5606,0.94,0.1045,2,2,4,0.5,0.5
4399,7/7/11,3,0,7,4,0,4,1,1,0.64,0.5758,0.89,0.1045,0,4,4,0,1
4400,7/7/11,3,0,7,5,0,4,1,1,0.64,0.5758,0.89,0.1045,2,30,32,0.0625,0.9375
4401,7/7/11,3,0,7,6,0,4,1,2,0.64,0.5758,0.89,0.1343,11,107,118,0.093220339,0.906779661
4402,7/7/11,3,0,7,7,0,4,1,2,0.66,0.5909,0.89,0.1045,13,279,292,0.044520548,0.955479452
4403,7/7/11,3,0,7,8,0,4,1,2,0.7,0.6667,0.79,0.194,28,415,443,0.063205418,0.936794582
4404,7/7/11,3,0,7,9,0,4,1,1,0.74,0.697,0.7,0.1642,25,154,179,0.139664804,0.860335196
4405,7/7/11,3,0,7,10,0,4,1,1,0.78,0.7424,0.62,0,29,72,101,0.287128713,0.712871287
4406,7/7/11,3,0,7,11,0,4,1,1,0.82,0.7727,0.52,0.1343,30,112,142,0.211267606,0.788732394
4407,7/7/11,3,0,7,12,0,4,1,1,0.84,0.7727,0.41,0,32,139,171,0.187134503,0.812865497
4408,7/7/11,3,0,7,13,0,4,1,1,0.86,0.7879,0.41,0,48,107,155,0.309677419,0.690322581
4409,7/7/11,3,0,7,14,0,4,1,1,0.86,0.7879,0.41,0.2537,39,121,160,0.24375,0.75625
4410,7/7/11,3,0,7,15,0,4,1,1,0.86,0.7879,0.41,0.2537,47,119,166,0.28313253,0.71686747
4411,7/7/11,3,0,7,16,0,4,1,1,0.86,0.7727,0.39,0.2239,47,218,265,0.177358491,0.822641509
4412,7/7/11,3,0,7,17,0,4,1,1,0.86,0.7576,0.36,0.2537,80,489,569,0.14059754,0.85940246
4413,7/7/11,3,0,7,18,0,4,1,1,0.84,0.7576,0.44,0.2985,70,492,562,0.12455516,0.87544484
4414,7/7/11,3,0,7,19,0,4,1,1,0.82,0.7727,0.52,0.2836,79,286,365,0.216438356,0.783561644
4415,7/7/11,3,0,7,20,0,4,1,1,0.76,0.7121,0.58,0.3582,61,224,285,0.214035088,0.785964912
4416,7/7/11,3,0,7,21,0,4,1,1,0.74,0.6818,0.62,0.1642,39,170,209,0.186602871,0.813397129
4417,7/7/11,3,0,7,22,0,4,1,1,0.74,0.6818,0.62,0.1642,32,150,182,0.175824176,0.824175824
4418,7/7/11,3,0,7,23,0,4,1,1,0.72,0.6818,0.66,0,31,98,129,0.240310078,0.759689922
4419,7/8/11,3,0,7,0,0,5,1,1,0.74,0.697,0.66,0.1045,6,41,47,0.127659574,0.872340426
4420,7/8/11,3,0,7,1,0,5,1,1,0.72,0.697,0.79,0,9,25,34,0.264705882,0.735294118
4421,7/8/11,3,0,7,2,0,5,1,2,0.7,0.6667,0.74,0.1642,10,12,22,0.454545455,0.545454545
4422,7/8/11,3,0,7,3,0,5,1,1,0.68,0.6364,0.79,0.1045,2,4,6,0.333333333,0.666666667
4423,7/8/11,3,0,7,4,0,5,1,1,0.7,0.6667,0.79,0.2537,7,4,11,0.636363636,0.363636364
4424,7/8/11,3,0,7,5,0,5,1,1,0.68,0.6364,0.79,0.2537,3,24,27,0.111111111,0.888888889
4425,7/8/11,3,0,7,6,0,5,1,1,0.7,0.6667,0.74,0.1045,11,91,102,0.107843137,0.892156863
4426,7/8/11,3,0,7,7,0,5,1,2,0.7,0.6667,0.79,0.194,30,302,332,0.090361446,0.909638554
4427,7/8/11,3,0,7,8,0,5,1,2,0.72,0.697,0.74,0.2537,36,421,457,0.078774617,0.921225383
4428,7/8/11,3,0,7,9,0,5,1,2,0.76,0.7273,0.7,0.2985,30,211,241,0.124481328,0.875518672
4429,7/8/11,3,0,7,10,0,5,1,2,0.74,0.697,0.7,0.3582,30,108,138,0.217391304,0.782608696
4430,7/8/11,3,0,7,11,0,5,1,2,0.74,0.7121,0.74,0.2537,61,104,165,0.36969697,0.63030303
4431,7/8/11,3,0,7,12,0,5,1,2,0.76,0.7273,0.7,0.2836,49,164,213,0.230046948,0.769953052
4432,7/8/11,3,0,7,13,0,5,1,2,0.78,0.7576,0.66,0.2836,54,175,229,0.23580786,0.76419214
4433,7/8/11,3,0,7,14,0,5,1,2,0.8,0.7879,0.63,0.3582,53,163,216,0.24537037,0.75462963
4434,7/8/11,3,0,7,15,0,5,1,2,0.8,0.7879,0.63,0.3582,39,102,141,0.276595745,0.723404255
4435,7/8/11,3,0,7,16,0,5,1,3,0.68,0.6364,0.83,0.4478,27,105,132,0.204545455,0.795454545
4436,7/8/11,3,0,7,17,0,5,1,3,0.66,0.5909,0.89,0.4478,6,161,167,0.035928144,0.964071856
4437,7/8/11,3,0,7,18,0,5,1,1,0.66,0.6061,0.83,0.0896,35,281,316,0.110759494,0.889240506
4438,7/8/11,3,0,7,19,0,5,1,1,0.66,0.6061,0.83,0.0896,45,225,270,0.166666667,0.833333333
4439,7/8/11,3,0,7,20,0,5,1,1,0.66,0.6061,0.83,0.1642,30,220,250,0.12,0.88
4440,7/8/11,3,0,7,21,0,5,1,2,0.66,0.6061,0.83,0.2537,46,158,204,0.225490196,0.774509804
4441,7/8/11,3,0,7,22,0,5,1,2,0.66,0.6061,0.78,0.194,33,136,169,0.195266272,0.804733728
4442,7/8/11,3,0,7,23,0,5,1,2,0.66,0.6061,0.78,0.0896,40,111,151,0.264900662,0.735099338
4443,7/9/11,3,0,7,0,0,6,0,2,0.66,0.6061,0.83,0.1343,31,90,121,0.256198347,0.743801653
4444,7/9/11,3,0,7,1,0,6,0,2,0.64,0.5758,0.89,0.1045,5,48,53,0.094339623,0.905660377
4445,7/9/11,3,0,7,2,0,6,0,1,0.64,0.5758,0.89,0.1642,12,43,55,0.218181818,0.781818182
4446,7/9/11,3,0,7,3,0,6,0,1,0.64,0.5758,0.89,0.1343,7,23,30,0.233333333,0.766666667
4447,7/9/11,3,0,7,4,0,6,0,1,0.64,0.5758,0.83,0.2239,2,4,6,0.333333333,0.666666667
4448,7/9/11,3,0,7,5,0,6,0,2,0.62,0.5606,0.88,0.1642,4,11,15,0.266666667,0.733333333
4449,7/9/11,3,0,7,6,0,6,0,2,0.64,0.5758,0.83,0.194,11,27,38,0.289473684,0.710526316
4450,7/9/11,3,0,7,7,0,6,0,1,0.66,0.6061,0.78,0.194,21,50,71,0.295774648,0.704225352
4451,7/9/11,3,0,7,8,0,6,0,1,0.7,0.6515,0.7,0.2537,68,114,182,0.373626374,0.626373626
4452,7/9/11,3,0,7,9,0,6,0,1,0.74,0.6818,0.58,0.2836,77,170,247,0.311740891,0.688259109
4453,7/9/11,3,0,7,10,0,6,0,1,0.76,0.697,0.52,0.1642,87,177,264,0.329545455,0.670454545
4454,7/9/11,3,0,7,11,0,6,0,1,0.78,0.697,0.46,0.2985,101,189,290,0.348275862,0.651724138
4455,7/9/11,3,0,7,12,0,6,0,1,0.8,0.7273,0.46,0.2537,145,221,366,0.396174863,0.603825137
4456,7/9/11,3,0,7,13,0,6,0,1,0.82,0.7424,0.41,0.2239,167,249,416,0.401442308,0.598557692
4457,7/9/11,3,0,7,14,0,6,0,1,0.84,0.7424,0.36,0.1343,158,215,373,0.423592493,0.576407507
4458,7/9/11,3,0,7,15,0,6,0,1,0.84,0.7273,0.34,0.0896,182,220,402,0.452736318,0.547263682
4459,7/9/11,3,0,7,16,0,6,0,1,0.82,0.7273,0.38,0,171,245,416,0.411057692,0.588942308
4460,7/9/11,3,0,7,17,0,6,0,1,0.84,0.7273,0.32,0,160,241,401,0.399002494,0.600997506
4461,7/9/11,3,0,7,18,0,6,0,1,0.82,0.7273,0.36,0.1045,132,246,378,0.349206349,0.650793651
4462,7/9/11,3,0,7,19,0,6,0,1,0.76,0.697,0.55,0.1642,128,178,306,0.418300654,0.581699346
4463,7/9/11,3,0,7,20,0,6,0,1,0.76,0.7121,0.58,0.2239,129,185,314,0.410828025,0.589171975
4464,7/9/11,3,0,7,21,0,6,0,1,0.74,0.6818,0.58,0.1642,83,155,238,0.348739496,0.651260504
4465,7/9/11,3,0,7,22,0,6,0,1,0.72,0.6818,0.62,0.1642,60,154,214,0.280373832,0.719626168
4466,7/9/11,3,0,7,23,0,6,0,1,0.72,0.6667,0.58,0.194,47,93,140,0.335714286,0.664285714
4467,7/10/11,3,0,7,0,0,0,0,1,0.7,0.6515,0.61,0.1642,42,112,154,0.272727273,0.727272727
4468,7/10/11,3,0,7,1,0,0,0,1,0.7,0.6515,0.61,0.1343,19,94,113,0.168141593,0.831858407
4469,7/10/11,3,0,7,2,0,0,0,1,0.68,0.6364,0.69,0.0896,28,68,96,0.291666667,0.708333333
4470,7/10/11,3,0,7,3,0,0,0,1,0.66,0.6212,0.74,0.0896,6,19,25,0.24,0.76
4471,7/10/11,3,0,7,4,0,0,0,1,0.66,0.6212,0.69,0.0896,0,5,5,0,1
4472,7/10/11,3,0,7,5,0,0,0,1,0.66,0.6212,0.74,0,7,10,17,0.411764706,0.588235294
4473,7/10/11,3,0,7,6,0,0,0,1,0.64,0.5909,0.78,0.0896,8,17,25,0.32,0.68
4474,7/10/11,3,0,7,7,0,0,0,1,0.7,0.6515,0.7,0.0896,27,38,65,0.415384615,0.584615385
4475,7/10/11,3,0,7,8,0,0,0,1,0.72,0.6818,0.66,0,27,65,92,0.293478261,0.706521739
4476,7/10/11,3,0,7,9,0,0,0,1,0.74,0.697,0.66,0.0896,62,107,169,0.366863905,0.633136095
4477,7/10/11,3,0,7,10,0,0,0,1,0.76,0.697,0.55,0.1343,95,173,268,0.354477612,0.645522388
4478,7/10/11,3,0,7,11,0,0,0,1,0.78,0.7273,0.55,0.194,110,177,287,0.383275261,0.616724739
4479,7/10/11,3,0,7,12,0,0,0,1,0.82,0.7576,0.46,0.2836,133,244,377,0.352785146,0.647214854
4480,7/10/11,3,0,7,13,0,0,0,1,0.8,0.7273,0.46,0.2985,139,228,367,0.378746594,0.621253406
4481,7/10/11,3,0,7,14,0,0,0,1,0.82,0.7424,0.41,0.3284,122,227,349,0.349570201,0.650429799
4482,7/10/11,3,0,7,15,0,0,0,1,0.84,0.7424,0.39,0.2836,142,219,361,0.393351801,0.606648199
4483,7/10/11,3,0,7,16,0,0,0,1,0.84,0.7576,0.41,0.2836,128,244,372,0.344086022,0.655913978
4484,7/10/11,3,0,7,17,0,0,0,1,0.84,0.7424,0.36,0.2239,146,217,363,0.402203857,0.597796143
4485,7/10/11,3,0,7,18,0,0,0,1,0.82,0.7424,0.43,0.2836,141,222,363,0.388429752,0.611570248
4486,7/10/11,3,0,7,19,0,0,0,1,0.8,0.7424,0.49,0.3284,120,183,303,0.396039604,0.603960396
4487,7/10/11,3,0,7,20,0,0,0,1,0.76,0.697,0.55,0.194,101,167,268,0.376865672,0.623134328
4488,7/10/11,3,0,7,21,0,0,0,1,0.74,0.6818,0.62,0.2537,65,162,227,0.286343612,0.713656388
4489,7/10/11,3,0,7,22,0,0,0,1,0.74,0.697,0.66,0.2239,56,87,143,0.391608392,0.608391608
4490,7/10/11,3,0,7,23,0,0,0,1,0.72,0.6818,0.66,0.2537,19,53,72,0.263888889,0.736111111
4491,7/11/11,3,0,7,0,0,1,1,1,0.7,0.6515,0.65,0.194,10,25,35,0.285714286,0.714285714
4492,7/11/11,3,0,7,1,0,1,1,1,0.7,0.6515,0.61,0.2836,5,5,10,0.5,0.5
4493,7/11/11,3,0,7,2,0,1,1,1,0.7,0.6515,0.61,0.2239,8,4,12,0.666666667,0.333333333
4494,7/11/11,3,0,7,3,0,1,1,1,0.68,0.6364,0.65,0.1642,2,8,10,0.2,0.8
4495,7/11/11,3,0,7,4,0,1,1,1,0.66,0.6212,0.74,0.2239,0,4,4,0,1
4496,7/11/11,3,0,7,5,0,1,1,1,0.66,0.6212,0.74,0.1343,5,21,26,0.192307692,0.807692308
4497,7/11/11,3,0,7,6,0,1,1,1,0.68,0.6364,0.74,0.194,19,102,121,0.157024793,0.842975207
4498,7/11/11,3,0,7,7,0,1,1,1,0.7,0.6667,0.74,0.2537,28,289,317,0.088328076,0.911671924
4499,7/11/11,3,0,7,8,0,1,1,1,0.74,0.697,0.66,0.2836,35,385,420,0.083333333,0.916666667
4500,7/11/11,3,0,7,9,0,1,1,1,0.78,0.7424,0.59,0.2985,41,167,208,0.197115385,0.802884615
4501,7/11/11,3,0,7,10,0,1,1,1,0.8,0.7576,0.55,0.3582,44,73,117,0.376068376,0.623931624
4502,7/11/11,3,0,7,11,0,1,1,1,0.82,0.7879,0.56,0.2985,39,89,128,0.3046875,0.6953125
4503,7/11/11,3,0,7,12,0,1,1,1,0.84,0.803,0.53,0.2836,40,108,148,0.27027027,0.72972973
4504,7/11/11,3,0,7,13,0,1,1,1,0.86,0.8182,0.5,0.2537,22,119,141,0.156028369,0.843971631
4505,7/11/11,3,0,7,14,0,1,1,1,0.86,0.8333,0.53,0.2836,40,94,134,0.298507463,0.701492537
4506,7/11/11,3,0,7,15,0,1,1,1,0.86,0.8485,0.56,0.4179,38,108,146,0.260273973,0.739726027
4507,7/11/11,3,0,7,16,0,1,1,1,0.86,0.8485,0.56,0.3881,57,182,239,0.238493724,0.761506276
4508,7/11/11,3,0,7,17,0,1,1,1,0.86,0.8485,0.56,0.4179,59,455,514,0.114785992,0.885214008
4509,7/11/11,3,0,7,18,0,1,1,1,0.86,0.8333,0.53,0.3881,57,415,472,0.120762712,0.879237288
4510,7/11/11,3,0,7,19,0,1,1,1,0.84,0.8333,0.59,0.3284,80,293,373,0.214477212,0.785522788
4511,7/11/11,3,0,7,20,0,1,1,1,0.72,0.697,0.74,0.4179,42,194,236,0.177966102,0.822033898
4512,7/11/11,3,0,7,21,0,1,1,1,0.7,0.6667,0.79,0.4179,21,109,130,0.161538462,0.838461538
4513,7/11/11,3,0,7,22,0,1,1,1,0.72,0.697,0.74,0.1343,20,70,90,0.222222222,0.777777778
4514,7/11/11,3,0,7,23,0,1,1,1,0.7,0.6667,0.79,0.1343,11,44,55,0.2,0.8
4515,7/12/11,3,0,7,0,0,2,1,1,0.7,0.6667,0.79,0.1343,3,19,22,0.136363636,0.863636364
4516,7/12/11,3,0,7,1,0,2,1,1,0.7,0.6667,0.79,0.0896,6,8,14,0.428571429,0.571428571
4517,7/12/11,3,0,7,2,0,2,1,1,0.7,0.6667,0.79,0.1045,2,7,9,0.222222222,0.777777778
4518,7/12/11,3,0,7,3,0,2,1,2,0.7,0.6667,0.79,0,2,6,8,0.25,0.75
4519,7/12/11,3,0,7,4,0,2,1,1,0.7,0.6667,0.79,0.1642,0,6,6,0,1
4520,7/12/11,3,0,7,5,0,2,1,1,0.7,0.6667,0.79,0.0896,4,21,25,0.16,0.84
